depmap_id,crispr_score,cell_line_name,cancer_type,lineage,is_dependency,gene_symbol
ACH-001864,0.0303770909297546,YSCCC,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,MSLN
ACH-001959,-0.0901277817799082,CC-LP-1,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,MSLN
ACH-001992,0.0680985856036309,ONE58,Pleural Mesothelioma,Pleura,False,MSLN
ACH-002021,-0.0157870986902126,T3M-3,Gestational Trophoblastic Disease,Uterus,False,MSLN
ACH-002025,0.1696979343649309,TT1TKB,Colorectal Adenocarcinoma,Bowel,False,MSLN
ACH-002033,-0.0637374695708712,HMMME,Pleural Mesothelioma,Pleura,False,MSLN
ACH-002048,-0.0286000287917082,RMS-YM,Rhabdomyosarcoma,Soft Tissue,False,MSLN
ACH-002080,0.0031705471636855,TN-2,Neuroblastoma,Peripheral Nervous System,False,MSLN
ACH-002105,0.0793697213187355,ES4,Ewing Sarcoma,Bone,False,MSLN
ACH-002119,-0.0445265766697043,EW-7,Ewing Sarcoma,Bone,False,MSLN
ACH-002156,0.0873378515044978,LC-1-sq,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-002230,0.1160466511756985,D-542MG,Diffuse Glioma,CNS/Brain,False,MSLN
ACH-002234,0.0804514481248266,DOK,"Head and Neck Carcinoma, Other",Head and Neck,False,MSLN
ACH-002250,0.0860687878910071,JHU-022,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,MSLN
ACH-002251,0.1253068980153865,JHU-029,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,MSLN
ACH-002461,0.0591964553340171,RVH421 SKIN FV1,Melanoma,Skin,False,MSLN
ACH-002709,0.2389361558187644,CMS,Acute Myeloid Leukemia,Myeloid,False,MSLN
ACH-002925,0.1341208174599396,UPMM3,Ocular Melanoma,Eye,False,MSLN
ACH-000030,-0.0317142698380546,PC-14,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000054,-0.0546123558132477,HT-1080,Fibrosarcoma,Soft Tissue,False,MSLN
ACH-000082,0.1793334819031404,"G-292, clone A141B1",Osteosarcoma,Bone,False,MSLN
ACH-000118,0.1183319322445509,HUP-T3,Pancreatic Adenocarcinoma,Pancreas,False,MSLN
ACH-000152,0.0427955373224753,M059K,Diffuse Glioma,CNS/Brain,False,MSLN
ACH-000188,-0.0874402497556201,SCC-25,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,MSLN
ACH-000192,0.1757505240205117,MFE-280,Endometrial Carcinoma,Uterus,False,MSLN
ACH-000200,0.1121076267416827,NMC-G1,Diffuse Glioma,CNS/Brain,False,MSLN
ACH-000203,0.0750674282198907,NH-6,Neuroblastoma,Peripheral Nervous System,False,MSLN
ACH-000209,-0.1451524975613031,SNU-1079,Intraductal Papillary Neoplasm of the Bile Duct,Biliary Tract,False,MSLN
ACH-000271,0.0104586680770746,SU-DHL-10,Mature B-Cell Neoplasms,Lymphoid,False,MSLN
ACH-000274,0.0004802899180775,Hs 852.T,Melanoma,Skin,False,MSLN
ACH-000305,-0.023538839687972,EC-GI-10,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,MSLN
ACH-000313,0.0516147784718838,KMRC-3,Renal Cell Carcinoma,Kidney,False,MSLN
ACH-000374,0.039051682988281,HCC1143,Invasive Breast Carcinoma,Breast,False,MSLN
ACH-000396,0.0812700870231139,J82,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,False,MSLN
ACH-000410,0.0832710409429073,Saos-2,Osteosarcoma,Bone,False,MSLN
ACH-000425,0.0801081590895696,UACC-62,Melanoma,Skin,False,MSLN
ACH-000442,0.0410128420156959,RERF-LC-Sq1,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000448,0.0330211778348697,NCI-H1666,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000452,0.0750951096162414,TE-8,Esophageal Squamous Cell Carcinoma,Esophagus/Stomach,False,MSLN
ACH-000459,0.0358850478686112,TUHR10TKB,Renal Cell Carcinoma,Kidney,False,MSLN
ACH-000463,0.020894139268414,NCI-H460,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000472,0.0127314456732913,HSC-2,Head and Neck Squamous Cell Carcinoma,Head and Neck,False,MSLN
ACH-000510,0.0729862477289612,NCI-H1299,Non-Small Cell Lung Cancer,Lung,False,MSLN
ACH-000519,-0.1349418170947198,PEER,T-Lymphoblastic Leukemia/Lymphoma,Lymphoid,False,MSLN
ACH-000525,-0.0783300207043124,NCI-H2171,Lung Neuroendocrine Tumor,Lung,False,MSLN
ACH-000557,-0.1565488059436822,AML-193,Acute Myeloid Leukemia,Myeloid,False,MSLN
